CAPPUCINO ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
BOMBOLONI,,,,,,,
LEKKER HOLAND,KOREAN GARLIC BREAD,,,,,,
HAZELNUT LATTE ICE,CHOCO LATTE,CAFE LATTE HOT,,,,,
KLEPON LATTE,GREENTEA MATCHA LATTE,HAZELNUT LATTE ICE,,,,,
CHOCO LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LEKKER HOLAND,,,,,,,
LEKKER HOLAND,KOREAN GARLIC BREAD,REDVELVET LATTE,,,,,
LUMOS KOPI SUSU SIGNATURE,CAFE LATTE HOT,,,,,,
LUMOS KOPI SUSU SIGNATURE,CAFE LATTE HOT,,,,,,
HONEY CITRON TEA,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
AVOCADO PRESSO,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,CAFE LATTE ICE,,,,,,
KLEPON LATTE,STRAWBERRY YAKULT,,,,,,
BOMBOLONI,,,,,,,
BOMBOLONI,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,COOKIES AND CREAM LATTE,LEKKER HOLAND,KOREAN GARLIC BREAD,,,,
BOMBOLONI,,,,,,,
BOMBOLONI,,,,,,,
BOMBOLONI,,,,,,,
CINNAMON ROLL,,,,,,,
BROWN SUGAR BOBA MILK TEA,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAPPUCINO HOT,,,,,,,
CAPPUCINO HOT,,,,,,,
HAZELNUT LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
AVOCADO PRESSO,,,,,,,
LEKKER HOLAND,LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,,
KLEPON LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
REDVELVET LATTE,,,,,,,
CINNAMON ROLL,LYCHEE YAKULT,CAPPUCINO ICE,,,,,
KOREAN GARLIC BREAD,OKINAWA BROWN SUGAR BOBA MILK,LYCHEE YAKULT,,,,,
LYCHEE YAKULT,,,,,,,
KOREAN GARLIC BREAD,REDVELVET LATTE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LYCHEE YAKULT,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CHOCO LATTE,HAZELNUT LATTE ICE,LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,,
GREENTEA MATCHA LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,CAFE LATTE ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,CAFE LATTE ICE,,,,,,
CAFE LATTE HOT,,,,,,,
COOKIES AND CREAM LATTE,CAFE LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,,
LYCHEE YAKULT,HAZELNUT LATTE ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,LEKKER HOLAND,,,,,,
CINNAMON ROLL,LUMOS KOPI SUSU SIGNATURE,,,,,,
